技能Id,中文名,法术释放方式,法系,技能等级,法阵ID,直接效果,主buff,攻击类型,法术范围,法术CD,持续时间,对空地,升级材料ID,进阶材料ID,法术使用积分,法术使用,图标使用,附加资源ID,冷却时间,进阶冷却时间
210225,皇家卫士,2,2,25,1,summon:12198-2,,,0,10000,20000,1,133046:31;133044:20;133048:14,133032:20,1,,210201,,300,0
210226,皇家卫士,2,2,26,1,summon:12199-2,,,0,10000,20000,1,133046:33;133044:22;133048:15,133032:20,1,,210201,,300,0
210227,皇家卫士,2,2,27,1,summon:12200-2,,,0,10000,20000,1,133046:36;133044:24;133048:16,133032:20,1,,210201,,300,0
210228,皇家卫士,2,2,28,1,summon:12201-2,,,0,10000,20000,1,133046:39;133044:26;133048:17,133032:20,1,,210201,,300,0
210229,皇家卫士,2,2,29,1,summon:12202-2,,,0,10000,20000,1,133046:42;133044:28;133048:18,133032:20,1,,210201,,300,0
210230,皇家卫士,2,2,30,1,summon:12203-2,,,0,10000,20000,1,133046:45;133044:30;133048:19,133032:20,1,,210201,,300,0
210231,皇家卫士,2,2,31,1,summon:12204-2,,,0,10000,20000,1,133140:48;133143:32;133146:20,133032:20,1,,210201,,1800,0
210232,皇家卫士,2,2,32,1,summon:12205-2,,,0,10000,20000,1,133140:51;133143:34;133146:21,133032:20,1,,210201,,1800,0
210233,皇家卫士,2,2,33,1,summon:12206-2,,,0,10000,20000,1,133140:54;133143:36;133146:22,133032:20,1,,210201,,1800,0
210234,皇家卫士,2,2,34,1,summon:12207-2,,,0,10000,20000,1,133140:57;133143:38;133146:23,133032:20,1,,210201,,1800,0
210235,皇家卫士,2,2,35,1,summon:12208-2,,,0,10000,20000,1,133140:60;133143:40;133146:24,133032:20,1,,210201,,1800,0
210236,皇家卫士,2,2,36,1,summon:12209-2,,,0,10000,20000,1,133140:60;133143:42;133146:25,133032:20,1,,210201,,1800,0
210237,皇家卫士,2,2,37,1,summon:12210-2,,,0,10000,20000,1,133140:60;133143:44;133146:26,133032:20,1,,210201,,1800,0
210238,皇家卫士,2,2,38,1,summon:12211-2,,,0,10000,20000,1,133140:60;133143:46;133146:27,133032:20,1,,210201,,1800,0
210239,皇家卫士,2,2,39,1,summon:12212-2,,,0,10000,20000,1,133140:60;133143:48;133146:28,133032:20,1,,210201,,1800,0
210240,皇家卫士,2,2,40,1,summon:12213-2,,,0,10000,20000,1,133140:60;133143:50;133146:29,133032:20,1,,210201,,1800,0
210241,皇家卫士,2,2,41,1,summon:12214-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210242,皇家卫士,2,2,42,1,summon:12215-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210243,皇家卫士,2,2,43,1,summon:12216-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210244,皇家卫士,2,2,44,1,summon:12217-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210245,皇家卫士,2,2,45,1,summon:12218-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210246,皇家卫士,2,2,46,1,summon:12219-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210247,皇家卫士,2,2,47,1,summon:12220-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210248,皇家卫士,2,2,48,1,summon:12221-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210249,皇家卫士,2,2,49,1,summon:12222-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210250,皇家卫士,2,2,50,1,summon:12223-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,133032:20,1,,210201,,3600,0
210251,皇家卫士,2,2,51,1,summon:12224-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210252,皇家卫士,2,2,52,1,summon:12225-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210253,皇家卫士,2,2,53,1,summon:12226-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210254,皇家卫士,2,2,54,1,summon:12227-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210255,皇家卫士,2,2,55,1,summon:12228-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210256,皇家卫士,2,2,56,1,summon:12229-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210257,皇家卫士,2,2,57,1,summon:12230-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210258,皇家卫士,2,2,58,1,summon:12231-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210259,皇家卫士,2,2,59,1,summon:12232-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210260,皇家卫士,2,2,60,1,summon:12233-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,133032:20,1,,210201,,7200,0
210301,神兵,2,3,1,1,summon:12234-2,,,0,10000,20000,2,,133032:50,1,,210301,,0,0
210302,神兵,2,3,2,1,summon:12235-2,,,0,10000,20000,2,,133032:50,1,,210301,,0,0
210303,神兵,2,3,3,1,summon:12236-2,,,0,10000,20000,2,,133032:50,1,,210301,,0,0
210304,神兵,2,3,4,1,summon:12237-2,,,0,10000,20000,2,,133032:50,1,,210301,,0,0
210305,神兵,2,3,5,1,summon:12238-2,,,0,10000,20000,2,,133032:50,1,,210301,,0,0
210306,神兵,2,3,6,1,summon:12239-2,,,0,10000,20000,2,133046:1,133032:50,1,,210301,,30,0
210307,神兵,2,3,7,1,summon:12240-2,,,0,10000,20000,2,133046:1,133032:50,1,,210301,,60,0
210308,神兵,2,3,8,1,summon:12241-2,,,0,10000,20000,2,133046:2,133032:50,1,,210301,,60,0
210309,神兵,2,3,9,1,summon:12242-2,,,0,10000,20000,2,133046:2,133032:50,1,,210301,,120,0
210310,神兵,2,3,10,1,summon:12243-2,,,0,10000,20000,2,133046:3,133032:50,1,,210301,,120,0
210311,神兵,2,3,11,1,summon:12244-2,,,0,10000,20000,2,133046:3;133044:1,133032:50,1,,210301,,300,0
210312,神兵,2,3,12,1,summon:12245-2,,,0,10000,20000,2,133046:5;133044:2,133032:50,1,,210301,,300,0
210313,神兵,2,3,13,1,summon:12246-2,,,0,10000,20000,2,133046:7;133044:3,133032:50,1,,210301,,300,0
210314,神兵,2,3,14,1,summon:12247-2,,,0,10000,20000,2,133046:9;133044:4,133032:50,1,,210301,,300,0
210315,神兵,2,3,15,1,summon:12248-2,,,0,10000,20000,2,133046:11;133044:5,133032:50,1,,210301,,300,0
210316,神兵,2,3,16,1,summon:12249-2,,,0,10000,20000,2,133046:13;133044:6,133032:50,1,,210301,,300,0
210317,神兵,2,3,17,1,summon:12250-2,,,0,10000,20000,2,133046:15;133044:7,133032:50,1,,210301,,300,0
210318,神兵,2,3,18,1,summon:12251-2,,,0,10000,20000,2,133046:17;133044:8,133032:50,1,,210301,,300,0
210319,神兵,2,3,19,1,summon:12252-2,,,0,10000,20000,2,133046:19;133044:9,133032:50,1,,210301,,300,0
210320,神兵,2,3,20,1,summon:12253-2,,,0,10000,20000,2,133046:21;133044:10,133032:50,1,,210301,,300,0
210321,神兵,2,3,21,1,summon:12254-2,,,0,10000,20000,2,133046:23;133044:12;133048:10,133032:50,1,,210301,,300,0
210322,神兵,2,3,22,1,summon:12255-2,,,0,10000,20000,2,133046:25;133044:14;133048:11,133032:50,1,,210301,,300,0
210323,神兵,2,3,23,1,summon:12256-2,,,0,10000,20000,2,133046:27;133044:16;133048:12,133032:50,1,,210301,,300,0
210324,神兵,2,3,24,1,summon:12257-2,,,0,10000,20000,2,133046:29;133044:18;133048:13,133032:50,1,,210301,,300,0
210325,神兵,2,3,25,1,summon:12258-2,,,0,10000,20000,2,133046:31;133044:20;133048:14,133032:50,1,,210301,,300,0
210326,神兵,2,3,26,1,summon:12259-2,,,0,10000,20000,2,133046:33;133044:22;133048:15,133032:50,1,,210301,,300,0
210327,神兵,2,3,27,1,summon:12260-2,,,0,10000,20000,2,133046:36;133044:24;133048:16,133032:50,1,,210301,,300,0
210328,神兵,2,3,28,1,summon:12261-2,,,0,10000,20000,2,133046:39;133044:26;133048:17,133032:50,1,,210301,,300,0
210329,神兵,2,3,29,1,summon:12262-2,,,0,10000,20000,2,133046:42;133044:28;133048:18,133032:50,1,,210301,,300,0
210330,神兵,2,3,30,1,summon:12263-2,,,0,10000,20000,2,133046:45;133044:30;133048:19,133032:50,1,,210301,,300,0
210331,神兵,2,3,31,1,summon:12264-2,,,0,10000,20000,2,133140:48;133143:32;133146:20,133032:50,1,,210301,,1800,0
210332,神兵,2,3,32,1,summon:12265-2,,,0,10000,20000,2,133140:51;133143:34;133146:21,133032:50,1,,210301,,1800,0
210333,神兵,2,3,33,1,summon:12266-2,,,0,10000,20000,2,133140:54;133143:36;133146:22,133032:50,1,,210301,,1800,0
210334,神兵,2,3,34,1,summon:12267-2,,,0,10000,20000,2,133140:57;133143:38;133146:23,133032:50,1,,210301,,1800,0
210335,神兵,2,3,35,1,summon:12268-2,,,0,10000,20000,2,133140:60;133143:40;133146:24,133032:50,1,,210301,,1800,0
210336,神兵,2,3,36,1,summon:12269-2,,,0,10000,20000,2,133140:60;133143:42;133146:25,133032:50,1,,210301,,1800,0
210337,神兵,2,3,37,1,summon:12270-2,,,0,10000,20000,2,133140:60;133143:44;133146:26,133032:50,1,,210301,,1800,0
210338,神兵,2,3,38,1,summon:12271-2,,,0,10000,20000,2,133140:60;133143:46;133146:27,133032:50,1,,210301,,1800,0
210339,神兵,2,3,39,1,summon:12272-2,,,0,10000,20000,2,133140:60;133143:48;133146:28,133032:50,1,,210301,,1800,0
210340,神兵,2,3,40,1,summon:12273-2,,,0,10000,20000,2,133140:60;133143:50;133146:29,133032:50,1,,210301,,1800,0
210341,神兵,2,3,41,1,summon:12274-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210342,神兵,2,3,42,1,summon:12275-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210343,神兵,2,3,43,1,summon:12276-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210344,神兵,2,3,44,1,summon:12277-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210345,神兵,2,3,45,1,summon:12278-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210346,神兵,2,3,46,1,summon:12279-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210347,神兵,2,3,47,1,summon:12280-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210348,神兵,2,3,48,1,summon:12281-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210349,神兵,2,3,49,1,summon:12282-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210350,神兵,2,3,50,1,summon:12283-2,,,0,10000,20000,2,133141:65;133144:50;133147:30,133032:50,1,,210301,,3600,0
210351,神兵,2,3,51,1,summon:12284-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210352,神兵,2,3,52,1,summon:12285-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210353,神兵,2,3,53,1,summon:12286-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210354,神兵,2,3,54,1,summon:12287-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210355,神兵,2,3,55,1,summon:12288-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210356,神兵,2,3,56,1,summon:12289-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210357,神兵,2,3,57,1,summon:12290-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210358,神兵,2,3,58,1,summon:12291-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210359,神兵,2,3,59,1,summon:12292-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210360,神兵,2,3,60,1,summon:12293-2,,,0,10000,20000,2,133142:70;133145:55;133148:35,133032:50,1,,210301,,7200,0
210401,闪电,3,4,1,211501,dmg:3920-8920,,,0,25000,0,2,,,1,210401,210401,,0,0
210402,闪电,3,4,2,211501,dmg:5330-10330,,,0,25000,0,2,,,1,210401,210401,,0,0
210403,闪电,3,4,3,211501,dmg:6780-11780,,,0,25000,0,2,,,1,210401,210401,,0,0
210404,闪电,3,4,4,211501,dmg:8220-13220,,,0,25000,0,2,,,1,210401,210401,,0,0
210405,闪电,3,4,5,211501,dmg:9670-14670,,,0,25000,0,2,,,1,210401,210401,,0,0
210406,闪电,3,4,6,211501,dmg:11110-16110,,,0,25000,0,2,133046:1,,1,210401,210401,,30,0
210407,闪电,3,4,7,211501,dmg:12560-17560,,,0,25000,0,2,133046:1,,1,210401,210401,,60,0
210408,闪电,3,4,8,211501,dmg:14000-19000,,,0,25000,0,2,133046:2,,1,210401,210401,,60,0
210409,闪电,3,4,9,211501,dmg:15450-20450,,,0,25000,0,2,133046:2,,1,210401,210401,,120,0
210410,闪电,3,4,10,211501,dmg:16890-21890,,,0,25000,0,2,133046:3,,1,210401,210401,,120,0
210411,闪电,3,4,11,211501,dmg:18340-23340,,,0,25000,0,2,133046:3;133044:1,,1,210401,210401,,300,0
210412,闪电,3,4,12,211501,dmg:19780-24780,,,0,25000,0,2,133046:5;133044:2,,1,210401,210401,,300,0
210413,闪电,3,4,13,211501,dmg:21230-26230,,,0,25000,0,2,133046:7;133044:3,,1,210401,210401,,300,0
210414,闪电,3,4,14,211501,dmg:22670-27670,,,0,25000,0,2,133046:9;133044:4,,1,210401,210401,,300,0
210415,闪电,3,4,15,211501,dmg:24120-29120,,,0,25000,0,2,133046:11;133044:5,,1,210401,210401,,300,0
210416,闪电,3,4,16,211501,dmg:25560-30560,,,0,25000,0,2,133046:13;133044:6,,1,210401,210401,,300,0
210417,闪电,3,4,17,211501,dmg:27010-32010,,,0,25000,0,2,133046:15;133044:7,,1,210401,210401,,300,0
210418,闪电,3,4,18,211501,dmg:28450-33450,,,0,25000,0,2,133046:17;133044:8,,1,210401,210401,,300,0
210419,闪电,3,4,19,211501,dmg:29900-34900,,,0,25000,0,2,133046:19;133044:9,,1,210401,210401,,300,0
210420,闪电,3,4,20,211501,dmg:31340-36340,,,0,25000,0,2,133046:21;133044:10,,1,210401,210401,,300,0
210421,闪电,3,4,21,211501,dmg:32790-37790,,,0,25000,0,2,133046:23;133044:12;133048:10,,1,210401,210401,,300,0
210422,闪电,3,4,22,211501,dmg:34240-39240,,,0,25000,0,2,133046:25;133044:14;133048:11,,1,210401,210401,,300,0
210423,闪电,3,4,23,211501,dmg:35680-40680,,,0,25000,0,2,133046:27;133044:16;133048:12,,1,210401,210401,,300,0
210424,闪电,3,4,24,211501,dmg:37130-42130,,,0,25000,0,2,133046:29;133044:18;133048:13,,1,210401,210401,,300,0
210425,闪电,3,4,25,211501,dmg:38570-43570,,,0,25000,0,2,133046:31;133044:20;133048:14,,1,210401,210401,,300,0
210426,闪电,3,4,26,211501,dmg:40020-45020,,,0,25000,0,2,133046:33;133044:22;133048:15,,1,210401,210401,,300,0
210427,闪电,3,4,27,211501,dmg:41460-46460,,,0,25000,0,2,133046:36;133044:24;133048:16,,1,210401,210401,,300,0
210428,闪电,3,4,28,211501,dmg:42910-47910,,,0,25000,0,2,133046:39;133044:26;133048:17,,1,210401,210401,,300,0
210429,闪电,3,4,29,211501,dmg:44350-49350,,,0,25000,0,2,133046:42;133044:28;133048:18,,1,210401,210401,,300,0
210430,闪电,3,4,30,211501,dmg:45800-50800,,,0,25000,0,2,133046:45;133044:30;133048:19,,1,210401,210401,,300,0
210431,闪电,3,4,31,211501,dmg:47240-52240,,,0,25000,0,2,133140:48;133143:32;133146:20,,1,210401,210401,,1800,0
210432,闪电,3,4,32,211501,dmg:48690-53690,,,0,25000,0,2,133140:51;133143:34;133146:21,,1,210401,210401,,1800,0
210433,闪电,3,4,33,211501,dmg:50130-55130,,,0,25000,0,2,133140:54;133143:36;133146:22,,1,210401,210401,,1800,0
210434,闪电,3,4,34,211501,dmg:51580-56580,,,0,25000,0,2,133140:57;133143:38;133146:23,,1,210401,210401,,1800,0
210435,闪电,3,4,35,211501,dmg:53020-58020,,,0,25000,0,2,133140:60;133143:40;133146:24,,1,210401,210401,,1800,0
210436,闪电,3,4,36,211501,dmg:54470-59470,,,0,25000,0,2,133140:60;133143:42;133146:25,,1,210401,210401,,1800,0
210437,闪电,3,4,37,211501,dmg:55910-60910,,,0,25000,0,2,133140:60;133143:44;133146:26,,1,210401,210401,,1800,0
