object_list,小波次表,,,,,,,,,
怪物组Id,跑道类型,出场次数,间隔时间,开始时间,出口跑道编号,怪物Id,怪物数量,关卡ID,,
510901,0,1,1000,2000,1,141050,1,,,
610101,0,8,500,2000,0,141001,8,3,,
610102,0,8,500,11000,0,141001,8,3,,
610103,0,8,500,17000,0,141001,8,3,,
610201,0,5,500,2000,0,141002,5,3,,
610202,0,5,1000,6000,0,141001,5,3,,
610301,0,6,2000,2000,0,141008,6,3,,
610302,0,6,2000,2000,1,141008,6,3,,
610401,0,20,1000,2000,0,141001,20,3,,
610402,0,20,1000,2000,1,141001,20,3,,
610501,0,8,4000,2000,0,141008,8,3,,
610502,0,25,1000,2000,1,141001,25,3,,
610601,0,5,2000,2000,0,141002,5,3,,
610602,0,5,2000,2000,1,141002,5,3,,
610701,0,10,2000,2000,0,141002,10,,,
610702,0,20,1000,2000,1,141001,20,,,
610801,0,14,2000,2000,0,141002,14,,,
610802,0,25,1000,2000,1,141001,25,,,
610901,0,2,2500,2000,0,141003,2,,,
610902,0,8,2000,2000,1,141002,8,,,
610903,0,25,1000,12000,0,141001,25,,,
610904,0,15,1000,20000,1,141001,15,,,
610905,0,10,1000,40000,1,141008,10,,,
611001,0,1,1000,2000,0,141009,1,,,
611002,0,2,1000,5000,0,141003,2,,,
611003,0,20,1000,12000,0,141001,20,,,
611101,0,1,1000,2000,0,141009,1,,,
611102,0,1,1000,2000,1,141009,1,,,
611103,0,8,1500,5000,0,141002,8,,,
611104,0,8,1500,5000,1,141002,8,,,
611105,0,2,1000,20000,0,141003,2,,,
611106,0,2,1000,20000,1,141003,2,,,
611107,0,10,500,28000,0,141001,10,,,
611108,0,10,500,28000,1,141001,10,,,
710101,0,3,1500,2000,0,141002,3,4,,
710201,0,8,2000,2000,1,141008,8,4,,
710301,0,16,500,2000,1,141001,16,4,,
710302,0,15,500,13000,1,141001,15,4,,
710303,0,14,500,23000,1,141001,14,4,,
710401,0,4,800,2000,0,141002,4,4,,
710402,0,4,800,10000,0,141002,4,4,,
710403,0,2,800,20000,0,141003,2,4,,
710501,0,12,1000,2000,1,141008,12,4,,
710601,0,4,1000,2000,0,141002,4,4,,
710602,0,10,2000,2000,1,141008,10,4,,
710701,0,2,6000,2000,1,141007,2,4,,
710801,0,2,10000,2000,1,141007,2,4,,
710802,0,4,2000,2000,0,141003,4,4,,
710803,0,20,500,16000,1,141001,20,4,,
710804,0,10,1000,16000,0,141002,10,4,,
710901,0,2,20000,2000,0,141009,2,,,
710902,0,5,1000,8000,0,141002,5,,,
710903,0,5,1000,27000,0,141002,5,,,
711001,0,25,500,2000,1,141001,25,,,
711002,0,2,1000,6000,0,141003,2,,,
711003,0,6,1000,18000,0,141002,6,,,
711004,0,3,4000,18000,1,141007,3,,,
711101,0,2,8000,2000,1,141007,2,,,
711102,0,5,1000,2000,0,141002,5,,,
711103,0,2,4000,12000,1,141007,2,,,
711104,0,7,1000,12000,0,141002,7,,,
711105,0,2,4000,20000,1,141007,2,,,
711106,0,8,1000,20000,0,141002,8,,,
711107,0,3,3000,30000,1,141007,6,,,
810101,0,8,3000,2000,0,141008,8,4,,
810102,0,8,2000,26000,0,141008,8,4,,
810201,0,8,2000,2000,1,141008,8,4,,
810202,0,8,2000,26000,1,141008,8,4,,
810301,0,4,5000,2000,0,141006,4,4,,
810302,0,4,5000,2000,1,141006,4,4,,
810401,0,16,4000,2000,0,141008,16,4,,
810402,0,16,4000,2000,1,141008,16,4,,
810501,0,3,5000,2000,0,141007,3,4,,
810502,0,10,800,16000,0,141008,10,4,,
810601,0,3,3000,2000,1,141007,3,4,,
810602,0,10,800,16000,1,141008,10,4,,
810701,0,4,2000,2000,0,141006,4,4,,
810702,0,4,2000,2000,1,141006,4,4,,
810703,0,2,1000,12000,0,141003,2,4,,
810704,0,2,1000,12000,1,141003,2,4,,
810705,0,4,1000,16000,0,141006,4,4,,
810706,0,4,1000,16000,1,141006,4,4,,
810707,0,2,1000,23000,0,141003,2,4,,
810708,0,2,1000,23000,1,141003,2,,,
810801,0,8,1000,2000,0,141049,8,4,,
810802,0,8,1000,11000,0,141049,8,4,,
810901,0,5,3000,2000,0,142004,5,,,
810902,0,5,3000,2000,1,142004,5,,,
811001,0,4,5000,2000,0,141007,4,,,
811002,0,4,5000,2000,1,141007,4,,,
811003,0,12,800,23000,0,141008,12,,,
811004,0,12,800,23000,1,141008,12,,,
811101,0,8,2000,2000,0,141049,8,,,
811102,0,8,2000,2000,1,141049,8,,,
811103,0,4,1000,18000,0,141003,3,,,
811104,0,4,1000,18000,1,141003,3,,,
811105,0,4,5000,26000,0,141050,4,,,
811106,0,1,5000,26000,1,141010,1,,,
910101,0,20,500,2000,0,141001,20,,,
910201,0,5,500,2000,0,141011,5,,,
910202,0,5,500,6000,0,141011,5,,,
910301,0,4,1500,2000,0,141011,4,,,
910302,0,5,2000,2000,1,141008,5,,,
910303,0,4,2000,15000,0,141011,4,,,
910304,0,5,2000,15000,1,141008,5,,,
910401,0,8,1500,2000,0,141048,8,,,
910501,0,5,1000,2000,0,141011,5,,,
910502,0,6,1000,2000,1,141008,6,,,
910503,0,5,1000,12000,0,141011,5,,,
910504,0,6,1000,12000,1,141008,6,,,
910601,0,3,2000,2000,1,141014,3,,,
910602,0,3,2000,10000,1,141014,3,,,
910603,0,2,2000,18000,1,141014,2,,,
910701,0,3,1500,2000,0,141048,3,,,
910702,0,5,1500,2000,1,141005,5,,,
910703,0,3,1500,10000,0,141048,3,,,
910704,0,5,1500,11000,1,141005,5,,,
910705,0,4,2000,16000,0,141048,4,,,
910801,0,6,1000,2000,0,141011,6,,,
910802,0,8,1000,2000,2,141008,8,,,
910803,0,6,1000,12000,0,141011,6,,,
910804,0,8,1000,13000,2,141008,8,,,
910901,0,4,1000,2000,0,141048,4,,,
910902,0,10,1000,2000,2,141005,10,,,
910903,0,4,1000,8000,0,141048,4,,,
910904,0,4,1000,15000,0,141048,4,,,
911001,0,10,500,2000,0,141011,10,,,
911002,0,2,2000,2000,1,141007,2,,,
911003,0,8,1000,6000,1,141008,8,,,
911004,0,4,500,14000,0,141048,4,,,
911005,0,8,1000,18000,1,141008,8,,,
911006,0,4,500,19000,0,141048,4,,,
911101,0,3,3000,2000,0,141009,3,,,
911102,0,2,1000,2000,1,141007,2,,,
911103,0,10,500,5000,1,141008,10,,,
911104,0,2,1000,15000,1,141007,2,,,
911105,0,10,500,18000,1,141008,10,,,
911201,0,8,500,2000,0,141048,8,,,
911202,0,2,1000,2000,2,141007,3,,,
911203,0,8,500,6000,2,141006,8,,,
911204,0,8,500,12000,0,141048,8,,,
911301,0,4,3000,2000,0,141009,4,,,
911302,0,4,500,2000,1,141014,4,,,
911303,0,3,2000,2000,2,141007,3,,,
911304,0,10,500,10000,1,141008,10,,,
911305,0,4,500,10000,2,141014,4,,,
911306,0,4,500,20000,2,141014,4,,,
911307,0,10,500,20000,1,141008,10,,,
1010101,0,10,500,2000,0,141001,10,,,
1010102,0,10,500,2000,1,141001,10,,,
1010103,0,3,500,10000,0,141002,3,,,
1010104,0,3,500,10000,1,141002,3,,,
1010201,0,2,500,2000,0,141002,2,,,
1010202,0,2,500,2000,1,141002,2,,,
1010203,0,5,500,4000,0,141001,5,,,
1010204,0,5,500,4000,1,141001,5,,,1010403
1010301,0,20,500,2000,0,141001,20,,,
1010302,0,4,2000,2000,1,141002,4,,,
1010303,0,1,1000,12000,1,141003,1,,,
1010304,0,1,1000,15000,0,141003,1,,,
1010401,0,20,500,2000,0,141001,20,,,
1010402,0,20,500,2000,1,141001,20,,,
1010501,0,20,500,2000,0,141001,20,,,
1010502,0,4,1500,2000,1,141002,4,,,
1010503,0,4,1500,10000,1,141002,4,,,
1010504,0,2,2000,18000,1,141003,2,,,
1010601,0,3,1000,2000,2,141011,3,,,
1010602,0,3,1000,2000,1,141011,3,,,
1010603,0,3,1000,8000,1,141011,3,,,
1010701,0,4,1000,2000,2,141008,4,,,
1010702,0,4,1000,2000,1,141008,4,,,
1010703,0,4,1000,9000,2,141011,4,,,
1010704,0,4,1000,9000,1,141011,4,,,
1010705,0,5,1000,15000,2,141008,5,,,
1010706,0,5,1000,15000,1,141008,5,,,
1010801,0,5,1000,2000,0,141002,5,,,
1010802,0,1,1000,2000,1,141009,1,,,
1010803,0,2,500,4000,1,141003,2,,,
1010804,0,2,500,8000,0,141003,2,,,
1010901,0,8,1000,2000,0,141011,8,,,
1010902,0,8,1000,2000,1,141011,8,,,
1010903,0,6,500,15000,0,141002,6,,,
1010904,0,6,500,15000,1,141002,6,,,
1011001,0,4,500,2000,0,141002,4,,,
1011002,0,4,500,2000,1,141002,4,,,
1011003,0,6,500,7000,0,141011,6,,,
1011004,0,6,500,7000,1,141011,6,,,
1011005,0,3,500,13000,0,141003,3,,,
1011006,0,3,500,13000,1,141003,3,,,
1011101,0,4,500,2000,0,141048,4,,,
1011102,0,4,500,2000,1,141048,4,,,
1011201,0,8,500,2000,1,141011,8,,,
1011202,0,8,500,2000,2,141011,8,,,
1011203,0,4,500,10000,1,141048,4,,,
1011204,0,4,500,10000,2,141048,4,,,
1011205,0,3,500,14000,1,141003,3,,,
1011206,0,3,500,14000,2,141003,3,,,
1011301,0,3,1500,2000,1,141048,3,,,
1011302,0,3,1500,2000,2,141048,3,,,
1011303,0,6,1500,12000,1,141011,6,,,
1011304,0,6,1500,12000,2,141011,6,,,
1011305,0,3,1500,25000,1,141048,3,,,
1011306,0,3,1500,25000,2,141048,3,,,
1011307,0,2,1500,32000,1,141003,2,,,
1011308,0,2,1500,32000,2,141003,2,,,
1110101,0,2,3000,2000,0,141048,2,,,
1110201,0,5,2000,2000,0,141011,5,,,
1110301,0,10,1000,2000,0,141008,10,,,
1110401,0,3,3000,2000,1,142018,3,,,
1110501,0,5,3000,2000,1,142018,5,,,
1110502,0,10,2000,18000,1,142018,10,,,
1110601,0,5,1000,2000,0,141011,5,,,
1110602,0,3,2000,2000,1,142018,3,,,
1110701,0,2,2000,2000,0,141051,2,,,
1110702,0,2,2000,8000,0,141051,2,,,
1110703,0,15,1000,15000,0,141008,15,,,
1110801,0,4,2000,2000,0,141051,4,,,
1110802,0,8,2000,2000,1,142018,8,,,
1110901,0,3,1500,2000,0,141052,3,,,
1111001,0,4,2000,2000,0,141051,4,,,
1111002,0,12,2000,2000,1,142018,12,,,
1111003,0,2,2000,6000,0,141052,2,,,
1111101,0,20,1500,2000,0,141008,20,,,
1111102,0,25,2000,2000,1,142018,25,,,
1111103,0,15,2000,35000,0,141014,15,,,
1111201,0,6,500,2000,0,141051,6,,,
1111202,0,3,500,7000,0,141052,3,,,
1111301,0,10,500,2000,0,141048,10,,,
1111302,0,10,500,2000,1,142018,10,,,
1111303,0,3,500,10000,0,141052,3,,,
1111304,0,20,1000,13000,1,142018,20,,,
1111305,0,6,500,13000,0,141051,6,,,
1111306,0,3,500,18000,0,141052,3,,,
1210101,0,10,4000,2000,0,141011,10,,,
1210201,0,10,4000,2000,1,141011,10,,,
1210301,0,2,3000,2000,0,141048,2,,,
1210302,0,2,3000,2000,1,141048,2,,,
1210401,0,6,2000,2000,0,141066,6,,,
1210402,0,6,2000,2000,1,141066,6,,,
1210501,0,8,2000,2000,0,141066,8,,,
1210502,0,8,2000,2000,1,141066,8,,,
1210601,0,4,4000,2000,0,141014,4,,,
1210602,0,4,4000,2000,1,141014,4,,,
1210701,0,5,2000,2000,0,142018,5,,,
1210702,0,5,2000,2000,1,142018,5,,,
1210801,0,12,2000,2000,0,141066,12,,,
1210802,0,12,2000,2000,1,141066,12,,,
1210901,0,2,3000,2000,0,141012,2,,,
1210902,0,2,3000,2000,1,141012,2,,,
1211001,0,15,2000,2000,0,141066,15,,,
1211002,0,15,2000,2000,1,141066,15,,,
1211003,0,3,3000,35000,0,141012,3,,,
1211004,0,3,3000,35000,1,141012,3,,,
1211101,0,10,2000,2000,0,142018,10,,,
1211102,0,10,2000,2000,1,142018,10,,,
1211201,0,8,2000,2000,0,141014,8,,,
1211202,0,8,2000,2000,1,141014,8,,,
1211301,0,20,1000,2000,0,141066,20,,,
1211302,0,20,1000,2000,1,141066,20,,,
1211303,0,4,1000,45000,0,141012,4,,,
1211304,0,4,1000,45000,1,141012,4,,,
1211401,0,20,1000,2000,0,142018,20,,,
1211402,0,20,1000,2000,1,142018,20,,,
1310101,0,15,500,2000,0,141064,15,,,
1310201,0,5,500,2000,0,141005,5,,,
1310202,0,5,500,7000,0,141005,5,,,
1310301,0,15,1000,2000,1,142004,15,,,
1310401,0,5,1000,2000,0,141006,5,,,
1310402,0,5,1000,10000,0,141006,5,,,
1310501,0,5,1000,2000,0,141049,5,,,
1310502,0,5,1000,10000,0,141049,5,,,
1310601,0,5,1000,2000,1,141065,5,,,
1310602,0,5,1000,10000,1,141065,5,,,
1310701,0,6,1500,2000,0,141051,6,,,
1310702,0,2,2000,12000,0,141016,2,,,
1310801,0,4,2000,2000,0,141016,4,,,
1310802,0,5,1000,15000,1,141065,5,,,
1310901,0,5,1000,2000,0,141017,5,,,
1310902,0,5,1000,10000,0,141051,5,,,
1311001,0,3,500,2000,0,141051,3,,,
1311002,0,2,500,4000,0,141052,2,,,
1311003,0,2,1000,6000,0,141016,2,,,
1311004,0,5,1000,8000,1,141014,5,,,
1311101,0,2,3000,2000,1,141015,2,,,
1311102,0,2,3000,10000,1,141015,2,,,
1311201,0,4,1000,2000,0,141016,4,,,
1311202,0,3,2000,8000,1,141015,3,,,
1311301,0,6,500,2000,0,141017,6,,,
1311302,0,10,500,2000,1,141014,10,,,
1311401,0,8,500,2000,1,141017,8,,,
1311402,0,4,500,8000,0,141051,4,,,
1311403,0,3,500,12000,0,141016,3,,,
1311404,0,2,500,16000,0,141052,2,,,
1311501,0,5,500,2000,0,141051,5,,,
1311502,0,5,500,6000,0,141017,5,,,
1311503,0,6,500,10000,1,141015,6,,,
1410101,0,10,500,2000,0,141002,10,,,
1410201,0,5,500,2000,0,141002,5,,,
1410202,0,15,500,2000,1,141001,15,,,
1410203,0,5,500,8000,0,141002,5,,,
1410301,0,10,500,2000,1,141066,10,,,
1410401,0,12,500,2000,0,141002,12,,,
1410402,0,12,500,2000,1,141011,12,,,
1410501,0,6,500,2000,0,141048,6,,,
1410601,0,8,500,2000,2,141048,8,,,
1410701,0,3,500,2000,0,141048,3,,,
1410702,0,7,500,2000,1,141011,7,,,
1410703,0,8,500,5000,0,141002,8,,,
1410704,0,8,500,7000,1,141011,8,,,
1410801,0,8,1000,2000,0,141067,8,,,
1410901,0,10,500,2000,1,141066,10,,,
1410902,0,3,500,2000,2,141067,3,,,
1410903,0,10,500,10000,1,141066,10,,,
1410904,0,3,500,10000,2,141067,3,,,
1411001,0,5,1000,2000,1,141012,5,,,
1411101,0,3,500,2000,0,141067,3,,,
1411102,0,3,1000,2000,1,141012,3,,,
1411103,0,8,500,8000,0,141048,8,,,
1411104,0,10,500,8000,1,141066,10,,,
1411201,0,11,500,2000,1,141066,11,,,
1411202,0,10,500,2000,2,141048,10,,,
1411203,0,3,1000,12000,1,141012,3,,,
1411204,0,3,500,12000,2,141067,3,,,
1411301,0,5,1000,2000,1,141012,5,,,
1411302,0,5,500,2000,2,141067,5,,,
1411303,0,5,500,8000,2,141067,5,,,
1411304,0,5,1000,9000,1,141012,5,,,
1510101,0,3,1000,2000,0,141048,3,,,
1510102,0,4,1000,2000,1,141011,4,,,
1510201,0,4,1000,2000,0,141048,4,,,
1510202,0,8,1000,2000,1,141011,8,,,
1510301,0,6,1000,2000,2,141066,6,,,
1510401,0,8,1000,2000,2,141066,8,,,
1510501,0,3,500,2000,0,141048,3,,,
1510502,0,3,500,2000,1,141048,3,,,
1510503,0,5,500,6000,0,141011,5,,,
1510504,0,5,500,6000,1,141011,5,,,
1510601,0,5,1000,2000,0,141048,5,,,
1510602,0,5,1000,2000,1,141011,5,,,
1510603,0,3,1000,10000,0,141011,3,,,
1510604,1,3,1000,10000,1,141048,3,,,
1510605,0,5,1000,15000,1,141011,5,,,
1510701,0,5,500,2000,0,141008,5,,,
1510702,0,5,500,2000,1,141008,5,,,
1510703,1,5,500,6000,0,141008,5,,,
1510704,0,5,500,6000,1,141008,5,,,
1510705,0,5,500,10000,0,141008,5,,,
1510706,1,5,500,10000,1,141008,5,,,
1510801,1,3,1000,2000,0,141014,3,,,
1510802,0,3,1000,2000,1,141014,3,,,
1510901,0,4,1000,2000,0,141014,4,,,
1510902,0,4,1000,2000,1,141008,4,,,
1510903,0,4,1000,10000,0,141008,4,,,
1510904,0,4,1000,10000,1,141014,4,,,
1511001,1,10,1000,2000,2,141066,10,,,
1511002,0,10,1000,15000,2,141066,10,,,
1511101,0,2,2000,2000,2,141012,2,,,
1511201,0,3,2000,2000,2,141012,3,,,
1511301,0,3,500,2000,0,141014,3,,,
1511302,1,5,500,2000,1,141008,5,,,
1511303,0,3,2000,2000,2,141012,3,,,
1511304,0,3,500,8000,0,141014,3,,,
1511305,0,5,500,8000,1,141008,5,,,
1511306,0,5,500,15000,1,141008,5,,,
1511401,0,4,500,2000,0,141048,4,,,
1511402,0,5,500,2000,1,141011,5,,,
1511403,1,2,1500,2000,2,141012,2,,,
1511404,1,4,500,8000,0,141048,4,,,
1511405,0,4,500,8000,1,141014,4,,,
1511406,0,2,1500,8000,2,141012,2,,,
1511407,0,4,500,15000,0,141048,4,,,
1511408,0,6,500,15000,1,141011,6,,,
1511409,0,4,1500,21000,1,141014,4,,,
1511501,0,2,2000,2000,0,141053,2,,,
1511502,0,2,2000,2000,1,141053,2,,,
1511503,0,6,2000,10000,0,141048,6,,,
1511504,0,6,2000,10000,1,141048,6,,,
1511505,0,5,2000,10000,2,141012,5,,,
1511506,0,5,2000,10000,2,141012,5,,,
1610101,0,10,1000,2000,0,141011,10,,,
1610102,0,10,1000,15000,2,141008,10,,,
1610201,0,8,1000,2000,2,141011,8,,,
1610202,0,2,3000,13000,2,141007,2,,,
1610301,0,4,2000,2000,1,141067,4,,,
1610302,0,4,2000,10000,1,141067,4,,,
1610401,0,8,2000,2000,0,141011,8,,,
1610402,0,3,2000,2000,1,141048,3,,,
1610403,0,3,2000,10000,1,141048,3,,,
1610501,0,3,3000,2000,0,141014,3,,,
1610502,0,4,2000,2000,1,141048,4,,,
1610503,0,10,500,12000,0,141008,10,,,
1610504,0,4,2000,15000,1,141048,4,,,
1610601,1,1,2000,2000,1,141053,1,,,
1610701,0,4,2000,2000,0,141014,4,,,
1610702,0,5,1000,2000,1,141048,5,,,
1610703,0,4,2000,15000,0,141014,4,,,
1610704,1,5,1000,15000,1,141048,5,,,
1610801,0,4,2000,2000,0,141014,4,,,
1610802,0,5,1000,2000,1,141048,5,,,
1610803,1,4,2000,15000,0,141014,4,,,
1610804,1,4,1000,15000,1,141067,4,,,
1610805,0,12,500,25000,2,141008,12,,,
1610806,0,13,500,33000,2,141008,13,,,
1610901,0,3,2000,2000,0,141015,3,,,
1611001,0,4,2000,2000,2,141015,4,,,
1611101,0,2,1000,2000,0,141007,2,,,
1611102,1,2,3000,2000,1,141053,2,,,
1611103,0,2,1000,5000,0,141007,2,,,
1611104,0,12,500,12000,2,141008,12,,,
1611105,0,12,500,21000,2,141008,12,,,
1611201,0,8,500,2000,0,141048,8,,,
1611202,1,4,2000,10000,0,141007,4,,,
1611301,0,6,4000,2000,0,141015,6,,,
1611302,0,5,500,2000,1,141067,5,,,
1611303,0,2,2000,7000,1,141053,2,,,
1611401,0,2,2000,2000,0,141007,2,,,
1611402,0,5,2000,2000,1,141067,5,,,
1611403,0,2,2000,15000,0,141007,2,,,
1611404,1,5,2000,15000,1,141067,5,,,
1611405,1,4,500,21000,2,141014,4,,,
1611406,0,4,500,25000,2,141014,4,,,
1611501,0,6,3000,2000,0,141015,6,,,
1611502,1,4,2000,2000,1,141053,4,,,
1611503,0,8,500,12000,1,141067,8,,,
1611504,0,1,1000,18000,0,141019,1,,,
1611505,0,5,500,22000,2,141014,5,,,
1611506,0,6,500,27000,2,141014,6,,,
1710101,0,6,2000,2000,0,141020,6,9,,
1710201,0,4,2000,2000,0,141020,4,9,,
1710202,0,4,2000,5500,0,141020,4,9,,
1710301,0,5,2000,2000,1,141020,5,9,,
1710302,0,2,3000,9000,1,141021,2,9,,
1710401,0,4,2000,2000,1,141020,4,9,,
1710402,0,2,4000,8000,1,141021,2,9,,
1710403,0,4,2000,10000,1,141020,5,9,,
1710501,0,2,5000,2000,0,141022,2,9,,
1710502,0,8,3000,5000,0,141020,8,9,,
1710601,0,2,5000,2000,1,141021,3,9,,
1710602,0,5,2000,5000,1,141020,5,9,,
1710603,0,5,2000,18000,1,141020,5,9,,
1710701,0,2,4000,2000,0,141021,2,9,,
1710702,0,2,3000,6000,0,141021,2,9,,
1710703,0,8,1500,10000,0,141020,10,9,,
1710801,0,6,1500,2000,1,141020,8,9,,
1710802,0,2,4000,2000,1,141021,4,9,,
1710803,0,4,2000,5500,1,141020,6,9,,
1710901,0,4,2000,2000,0,141021,4,9,,
1710902,0,2,3000,3000,0,141022,2,9,,
1710903,0,4,2000,12000,1,141021,4,9,,
1710904,0,2,3000,13000,1,141021,2,9,,
1711001,0,2,3000,2000,1,141021,2,9,,
1711002,0,2,2000,2000,0,141020,2,9,,
1711003,0,2,3000,5000,1,141021,2,9,,
1711004,0,2,3000,5000,0,141021,2,9,,
1711005,0,7,1000,10000,1,141020,10,9,,
1711006,0,2,4000,10000,1,141021,2,9,,
1810101,0,8,2000,2000,0,141020,8,9,,
1810201,0,2,4000,2000,0,141021,2,9,,
1810202,0,6,2000,3000,0,141020,6,9,,
1810301,0,7,2000,2000,1,141020,7,9,,
1810302,0,2,3000,14000,1,141020,2,9,,
1810401,0,3,2000,2000,2,141020,3,9,,
1810402,0,2,4000,8000,2,141021,2,9,,
1810403,0,4,2000,10000,2,141020,5,9,,
1810501,0,2,5000,2000,3,141022,2,9,,
1810502,0,8,2000,5000,3,141020,8,9,,
1810601,0,2,5000,2000,1,141021,3,9,,
