object_list,,,,,,,,,,,,,
语言包key,按表进行分类,中文简体,中文简体,英文,英文,英文,英文,,,,,,
100310311,tollgates,熔岩3,挑战才刚刚开始…敌方已经结结实实的向我们发来了战书，并夸下海口说要在三个月内将我们人类联盟彻底粉碎…国王已经下令，让大法师克隆出诸多强有力的【三头地狱犬】，至于实力恐怕要与敌人不相上下！勇士们…火速前往【亡者试炼场】，挖掘你潜在的智慧。,Headless Valley,"Entering Headless Valley, the quickest way through two liquid lava plains, demons quickly perimeter your forces.",,,,,,,,
100310411,tollgates,熔岩4,,Purgatory Cave,Clearing out every cave and cranny is tedious work but we can not afford to be attacked from behind.,,,,,,,,
100310511,tollgates,熔岩5,前方就是【屠夫庄院】…多少生灵在这里消亡，也会很多魂魄在这里超度。三百年前，这里可是人?兽必争之地，得到诸神的庇佑可是沙场凯旋的最好寄托！但今天可不同，这群【妖姬】要将这里彻底焚毁，为的就是讲我们得以信赖的精神寄托彻底毁灭！,Magma Mount,"Having reached slopes of Magma Mount, bugles of war blow. The slopes are littered with demon encampments.",,,,,,,,
100310611,tollgates,熔岩6,,Vulcanland,"The air is choked with smoke, and demons and necromancers swarm in the distance. We are getting close to something big.",,,,,,,,
100310711,tollgates,熔岩7,,Demon Camp,"A massive summoning ceremony has been initiated, we must do everything we can to stop it.",,,,,,,,
100310811,tollgates,熔岩8,这里被称为【神弃之地】…就是连神都甘愿放弃的敌方！不是因为别的，就是即便是神都无法驾驭这里的【投火怪】。据说，当年兽人之王——卡西奥斯将部队驻扎此地，并将永世封印的邪恶力量深埋此地…即便世人将这里挖了底朝天，也无法找到它的蛛丝马迹…,Scorched Waste,"We were too late to stop the Captain of Destruction from being summoned. Now we need to face him steel for steel, sweat for sweat and blood for blood.",,,,,,,,
100410111,tollgates,沙漠1,事实已经摆在眼前了！兽人的力量与日俱增，如果形势依旧如此，我们成为阶下囚也仅仅是时间问题…当下的任务尤为关键，那就是破坏众多【骷髅】在此汇合，并用尽一切方法消耗他们的有生兵力！如果我没有估计错…此时，他们已经到了【未知领地】,The Barrens,"Time is not on our side. With every passing day the Orcs get stronger. They now summon skeletons to serve as their bone shield.Step up the pace brethren, we need to get to The Barrens before it is overrun.",,,,,,,,
100410211,tollgates,沙漠2,,,,,,,,,,,
100410311,tollgates,沙漠3,我知道你已经尽了力…但是周遭还是有个别地方有了不同程度的防守无力，甚至还有沦陷！如今恐怕还需要你调派人马火速增援【蒙特要塞】赶走这群来势汹汹的【仙人掌】…如果接下来的一切皆以顺利，那我们在士气上就会占据绝对的上风！,Mirage Sands,"The neighboring regions have been invaded by orc influenced Cactaren, they must have been planning this for a long time.It seems that every step we take, they take two. I know you are exhausted but like they say, there is no rest for the weary. Set up our defenses in Mirage Sands and lets hope they give us a couple hours rest before attacking.",,,,,,,,
100410411,tollgates,沙漠4,,,,,,,,,,,
100410511,tollgates,沙漠5,做的不错…我就知道任何事情在你这里就会画上句号！那接下来的任务，又是非你莫属。穿过前方的瀑布就到达【潮汐之地】，这里是兽人头领【死灵法师】的老巢！忘记你前面所有的胜利成果，你面对的这个怪兽，才是今后最为核心的邪恶力量。,The Lone Stronghold,"Well executed men! I knew I could count on your brains as well as your brawn!Through this waterfall lies the Long Stronghold where the Necromancers hold their camp. They will be expecting us, but we can match their might!",,,,,,,,
100410611,tollgates,沙漠6,,,,,,,,,,,
100410711,tollgates,沙漠7,,,,,,,,,,,
100410811,tollgates,沙漠8,我知道我不该这个时候告诉你将要发生的…兽人部落因为之前的惨败尤为大怒，甚至他们因此变的更为强大…不仅如此也将深埋地狱中的【秃鹫】唤醒。我知道现在的你已经完全具备了超强能力，但我还是自作决定，让大法师克隆出仅次于它们将士与你对决！打开地图，前往【炼狱之劫】吧！,Calamityville,"Another terrible battle scene beholds my eyes…I don't know what happened here and maybe I don't want to but Vultures skim the ground and litter the sky.How fitting, that sign says Calamityville. It looks like whatever happened here is coming for us next, to attention!",,,,,,,,
100510111,tollgates,沼泽1,城内出现了莫名的恐慌…如果没猜错，这应该就是恶战前的警示吧！如果你不希望我们惨死在城池中，那就将游走在【迷雾森林】的【蜥蜴人】统统消灭！,Swamp of Lonliness,"Let's detour around the bandit cities, they don't serve as much of a problem to anyone but themselves. Hopefully the Reptili of the Swamp of Lonliness don't serve as too big a problem.",,,,,,,,
100510211,tollgates,沼泽2,,,,,,,,,,,
100510311,tollgates,沼泽3,早在三天敌方就以派出【史莱姆】悄然暗袭我们…趁这一切还能有所把控之时，请带领你的得力干将火速前往【炙热熔炉】利用你对地形的了解，打他们个措手不及！我敬爱的英雄，黎明的曙光已经悄然而来，人类联盟的安危全在你一手掌控。,Broiling Wetlands,"Scouts have said that a pod of Slime will be upon us in about 3 days with no way to get around them. Better to face them ready than to try to get around be snuck up on.Watch your step, the Broiling Wetlands is a dangerous terrain even without enemies.",,,,,,,,
100510411,tollgates,沼泽4,,,,,,,,,,,
100510511,tollgates,沼泽5,似乎国民都已习惯你凯旋的消息，这次的胜利倒使城内一片安静！刚开始我也以为他们怎么会不为自己的英雄而感到骄傲！却没想到原来大家早已整装待发，成为了国王扩充下的精锐之师…我的英雄，带领你的人民去与【泥潭怪】做个了断吧！就在【落日山脉】…,The Tangled Swamp,"The citizens of your kingdom have great confidence you after your successive victories and more soldiers join your army. Of course, not being there themselves, they don't understand the gravity of the situation. It is not time to head home yet, it is time to enter the Tangled Swamp and fight the Mud Golems.",,,,,,,,
100510611,tollgates,沼泽6,,,,,,,,,,,
100510711,tollgates,沼泽7,,,,,,,,,,,
100510811,tollgates,沼泽8,恶战让我们双方都损失惨重，但我觉得对方肯定要比我们更加惨痛…他们没有感恩、没有信仰…有的只是仇恨与杀戮！当你收到这封信的时候，我们的精锐之师应该已经抵达目的地——【兽人巢穴】，而你…就是他们唯一的主帅，目的仅此一个消灭【巨型鳄鱼怪】,Hideout Marsh,"Both sides have suffered losses but the time for mourning is not upon us yet.Your scouts have brought you back intel on Hideout Marsh - the Giant Crocs that live there are very territorial, there will be no easy way through.",,,,,,,,
100110101,tollgates,草原隐藏,兽人大军日凌晨攻占了【羊肠小道】！在我看来，这群家伙肯定是想利用那里复杂的地形，对我们的守军造成多重压力！我的英雄，我想你应该在他们还没出动之前到达那里！,The Twisted Green,"A small platoon of Orcs have made it into the Twisted Green. They will try to use the landscape to their advantage but have faith, this is our land we've got the experience they don't.",,,,,,,,
100210201,tollgates,雪原隐藏,我想你已经早有耳闻…没错前方就是传说中的【光明与黑暗】，但凡能掌控这里的势力，都可以在未来的消耗战中占据绝对的优势！加油吧！,Frost Plains,The Frost Plains of legend… Never thought I would see the day but there's no time to savor the moment. Defend yourselves!,,,,,,,,
100310301,tollgates,熔岩隐藏,谁都无法解释这里奇怪的地形，正如世人无法考证麦田怪圈一样！【恐怖脸谱】是由我们英勇的狮鹫骑士横跨此地时随口命名…但事实上这已经完全可以诠释这里恐怖的气息了！,Flaming Plains,"I thought the Flaming Plains were lost forever, scarred and deformed by the old wars. But here it is inhabitated by a myriad of creatures. Let's get defending.",,,,,,,,
100410401,tollgates,沙漠隐藏,看看这些起起伏伏的沙丘…没错，这里可以是我们天然的避风港！我们如果能够合理利用此类地形，那绝对可以给那群野蛮人足够深入的打击！,Desert's Grave,"Those that enter Desert's Grave rarely ever live to tell the story. A desert dry and hot as a burnt coal, don't expect life to get any easier.",,,,,,,,
100510501,tollgates,沼泽隐藏,这是一条无尽之路，回来的人多半都已经被邪恶侵袭了内心…而你，我的国王…利用你的智慧与勇敢，将这里的一切彻底颠覆！,The Twisted Marsh,The Twisted Marsh is fabled but there is not a living soul who can claim to have ben there. We must be as smart as we are strong if you we are to be victorious here. ,,,,,,,,
1001,map,草原1,,Grasslands,,,,,,,,,
1002,map,雪原1,,The Tundra,,,,,,,,,
1003,map,熔岩1,,Lava Plains,,,,,,,,,
1004,map,沙漠1,,The Desert,,,,,,,,,
1005,map,沼泽1,,Marshlands,,,,,,,,,
1001,map,草原1,,Grasslands,,,,,,,,,
1002,map,雪原1,,The Tundra,,,,,,,,,
1003,map,熔岩1,,Lava Plains,,,,,,,,,
1004,map,沙漠1,,The Desert,,,,,,,,,
1005,map,沼泽1,,Marshlands,,,,,,,,,
180001,Hero,白银骑士,白银骑士是拉菲诺六世生前的近卫队长，王国近卫队在他的带领下一次又一次的保护了国王的安慰，他以此为荣。白银骑士擅长防守，没有人可以冲破他的巨盾。现在他效命于拉菲诺七世，他的新国王，为了王国的安危，白银骑士再次为城邦而战！,Sir Lance Alotte,"Sir Lance Alotte is the captain of the Silver Knight guard. He has served and protected the kingdom during the last king's rule, striving always for honor and justice. Sir Lance Alotte is a defensive hero with a giant shield ready to protect and serve the kingdom once again under your rule.|<FONT FACE=""NormalFont"">Sir Lance Alotte is  the  captain of the Silver Knight guard.</FONT>\r<FONT FACE=""NormalFont"" COLOR=""#9E1E00"">Class: Tank</FONT>\r<font FACE=""NormalFont"" color=""#9E1E00"">Specialties: High health, high armor</font>\r<FONT FACE=""NormalFont"">He can tank the bigger and badder enemies.</FONT>\r<FONT FACE=""NormalFont"">*Gain more goods in battle from enemies slain by heroes.</FONT>",,,,,,,,
180002,Hero,鹰眼,鹰眼是王国内的射手们给予他的称号，曾经的训练场教官在和平时期在森林中过起了隐居生活。因为他射击时百发百中，据说他的眼睛是鹰的眼睛，可以观察到很远的敌人并给予其致命一击。和平时期鹰眼隐居在城邦附近的森林中，直到兽人再次侵略，鹰眼率领手下的游侠们走出森林，为了国家而战！,Robin Eagleye,"Robin Eagleye is the kingdom's best marksman. Before being recruited into the Invictus ranger force he was a marksmen in an outlying territory known for being able to hit a target from unimaginable distances and the speed at which he is able to shoot his arrows. Although, technically the captain of the ranger force, he prefers to travel alone in battle.|<FONT FACE=""NormalFont"">Robin Eagleye is the kingdom's best marksman. </FONT>\r<font FACE=""NormalFont"" COLOR=""#9E1E00"">Class: Physical Range</font>\r<font FACE=""NormalFont"" COLOR=""#9E1E00"">Specialities: Ranged Attack, High damage to one target</FONT>\r<FONT FACE=""NormalFont"">Especially effective against ranged and magic resistant attackers.</FONT>",,,,,,,,
180003,Hero,秀逗魔导士,秀逗魔导士是城邦魔法行会会长的女儿，这位天才少女在父亲的熏陶下年纪轻轻就在魔法上很有造诣了。她的美丽也让她成为大家心中的女神，但是不要被她的美丽所迷惑，她的魔法飞弹可以给予敌人巨大的伤害，最重要的是，你永远抓不到她！,Korina Chantress,"Korina Chantress, daughter of the president of the Magic Academy has grown up with mages, wizards and witches alike. But don't be fooled by this fair maiden's beauty, she is also a skilled witch versed in the mage arts. Her focus has always been on damaging spells; it's better to stay on her good side.|<FONT FACE=""NormalFont"">Korina Chantress, daughter of the president of the Magic Academy has grown up with mages, wizards and witches alike.\r<font FACE=""NormalFont"" COLOR=""#9E1E00"">Class: Magic Range</font>\r<font FACE=""NormalFont"" COLOR=""#9E1E00"">Specialties: Ignores physical armor, Fast movespeed</font>\r<FONT FACE=""NormalFont"">Great at taking highly armored enemies down from a distance.",,,,,,,,
180004,Hero,炸弹人,炸弹人是地精中最聪明的家伙，他喜欢破坏，他把自己的智慧都投入到炸弹的研究当中。他曾经是拉菲诺六世的俘虏，在人类压倒性的军事优势下他选择了投降，现在为城邦而战。“这个家伙是我们强大的火力支援，但是，如同他的名字一样，他是一颗定时炸弹，大战在即，我要看紧他，如果他倒戈我会立刻杀掉他”——白银骑士如是说道。,Durin Atomika,"Captured as a teenager in the early goblin wars, Durin Atomika surrendered to the Invictus Alliance and has sworn his service to the army. Trained as a goblin engineer, his skills lie in explosives and has proven his abilities on the battlefield. However, a close eye is kept on him in case he decides to change his allegiances.|<FONT FACE=""NormalFont"">Captured as a teenager in the early goblin wars, Durin Atomika surrendered to the Invictus Alliance and has sworn his service to the army.</FONT>\r<font FACE=""NormalFont"" COLOR=""#9E1E00"">Class: AOE Expert</font>\r<font FACE=""NormalFont"" COLOR=""#9E1E00"">Specialties: Area of attack damage, Contains enemies</font>\r<FONT FACE=""NormalFont"">Highly effective in taking out groups of enemies at once.</FONT>",,,,,,,,
180005,Hero,自然之力,在千年古树被完全腐蚀前流下了最后一滴眼泪的时候，森林的守护神——自然之力被召唤了出来。但是太迟了，古树已经被腐蚀，她的力量受到了黑暗魔法的影响已经被削弱大半，但是她没有放弃。她来到城邦，要求加入军队为城邦而战。,Cyra Naturalis,"Protector of the Forest of the Ancients, Cyra Naturalis commands the powers of nature at her side. However, summoned too late for her to save the corruption of the Forests of the Ancients, she has volunteered the rest of her powers to the Alliance to rid the world of such evils always with the hope of finding a cure to the corruption.",,,,,,,,
180006,Hero,影子武士,没有人知道影子武士来自哪里为什么而战，拉菲诺七世答应了他加入军队的要求，但是他们之间似乎有着某种协议，但协议的内容就不得而知了。在战场上，影子武士是恐怖的杀手，没有人能看清他出刀的速度。,Link Shadowstep,"An unknown warrior of an unknown land and never seen before skills, Link Shadowstep is only described as the Shadow Warrior. Like your own shadow, you can never quite catch him and like the shadows of the night, you are never quite sure where he is with speed at which he moves and attacks. It is said that he fights only for the Invictus because of a secret pact he made with the past king.",,,,,,,,
111001,Towers,新兵兵营,王国新兵训练的地方，训练设施还不是很齐全。,Recruit Barracks,Basic barracks used to house new recruits.,,,,,,,,
111002,Towers,步兵兵营,经过了新兵训练的战士就可以正式加入步兵大队了。,Guard Barracks,Upgraded barracks quarters to house the meatier and stronger royal guard.,,,,,,,,
111003,Towers,精锐兵营,只有掌握《皇家训练教程》全部战斗技巧的士兵才能入选国家精锐部队。,Paladin Barracks,"Top-notch barracks home to the paladins, the elite fighting force of the kingdom.",,,,,,,,
111004,Towers,骑士训练营,王国最强的防御者骑士们训练的地方，不清楚这里为什么没有配备马厩。,Cavalry Quarters,"Paladins that choose they way of the horse, these knights are damage enduring warriors.",,,,,,,,
111005,Towers,竞技场,王国观看决斗以及斗兽的地方，从这里走出来的战士每个都能以一敌十。,Coliseum,"Paladins that have strayed from the order, becoming gladiator champions focused on dealing damage.",,,,,,,,
111006,Towers,牧师祠堂,牧师们在此处做祷告，必要的时候他们也会走出祠堂使用神圣的力量抗击邪恶的势力。,Hall of Divinity,"Hall of the Paladins who decide to devote their life to the divine, they call upon divine powers to smite their enemies.",,,,,,,,
112007,Towers,箭手之塔,尽管这些箭手射击的精度不高，但还是守卫了王国的大片疆土。,Arrow Tower,"Although not equipped with great damage, arrow towers have a wide attack radius.",,,,,,,,
112008,Towers,射手之塔,射手们在射术上更加熟练，是守卫王国的中坚力量。,Marksman Tower,"With better equipped archers, these towers have better range and damage.",,,,,,,,
112009,Towers,神射手之塔,神射手是王国中射术最厉害的精英，历届射术大赛的冠军都是神射手队伍中的一员。,Hands of God Tower,"This tower, nicknamed the Hands of God, is stationed with experienced rangers who attack from higher range and output more damage.",,,,,,,,
112010,Towers,森林游击队,真正的射术高手游侠藏匿于森林中，据说他们不屑射术冠军的头衔，但他们射出的箭矢可以穿透厚重的护甲。,Jungle Warfare,"Rangers that choose the path of jungle warfare, they shoot armor-penetrating arrows from the shadows at amazing speeds.",,,,,,,,
112011,Towers,火枪守卫队,来一个杀一个，火枪手们依靠他们高科技的装备让射击的准度达到了极致。,Sniper Lookout,"Rangers that choose the path of the sniper, they shoot from distances dealing heavy damage to single targets.",,,,,,,,
112012,Towers,上忍暗杀小组,经过了高强度特殊训练的人才能加入忍者部队，他们用致命的手里剑攻击敌人。,Assassin Syndicate,Assassins are rangers trained in the arts of the shadows and use deadly daggers to attack enemies.,,,,,,,,
113013,Towers,见习法师塔,见习法师所防守的塔，他们吟诵咒语的速度还不够快。,Mage Tower,"Apprentice magi man this tower, casting incantations and spells on foes.",,,,,,,,
113014,Towers,熟练法师塔,熟练的法师相比之前已经能够更加熟练的运用魔法，但他们掌握的知识还不够。,Adept Mage Tower,Adept magi have access to more powerful incantations and spells.,,,,,,,,
113015,Towers,巫师之塔,翻阅过魔法行会中所有法术书籍的人这是成为王国的巫师，他们用强悍的魔法光球攻击侵犯的敌人。,High Mage Tower,"The High Magi, the highest level of mages, are more powerful and faster than their mage underlings.",,,,,,,,
113016,Towers,神秘之塔,神秘之塔上装配有时空法师才知道作用的水晶，没有人知道这些时空法师是怎么来到王国的。,Geo Tower,"A tower warped in from another dimension, the geomancers that man this tower have control over space and time and are not of this world.",,,,,,,,
113017,Towers,女巫塔,女巫是美丽睿智的法师，小瞧她们的人可是要吃苦头的。,Witch Tower,There are powers in the universe unique to females that can be tapped. Female magi who master this magic are initiated into the witch order.,,,,,,,,
113018,Towers,男巫塔,男巫是与元素之王签订过契约的巫师，他们召唤的元素生物会将最愤怒全部倾泻给男巫的敌人。,Wizard Tower,There are powers in the universe unique to males that can be tapped. Male magi who master this magic are initiated into the wizard order.,,,,,,,,
114019,Towers,石炮,喜欢研究火药的矮人们所建造的基础炮塔，威力较弱。,Cannoner,"Dwarven wielded, basic cannon. Deals area of effect damage.",,,,,,,,
114020,Towers,榴弹炮,通过改造增加了炮弹威力和射程，改用榴弹炮作为炮弹。,Artilliar,"With upgraded projectiles, this cannon deals more damage and has a larger attack radius.",,,,,,,,
114021,Towers,矮人巨炮,经过矮人工匠的改装，炮弹的威力更大，更先进的炮台也让炮弹的射程更远。,Mortarer,"With alterations to the chamber and more effective projectiles powered by new gunpowder, it deals even more damage and is effective at even longer ranges.",,,,,,,,
114022,Towers,重型加农炮,那些不满足于巨炮为例的炮手改装的重型火炮，他们既是炮手同时也是机械师。,Bombadier,The bombadier is considered THE heavy artillery. The craters left by its projectiles tend to be about the size of a wagon.,,,,,,,,
114023,Towers,龙息塔,受到灭龙法师祝福的防御塔，可以召唤火龙的力量攻击敌人。,Dragooner,"Embedded with essence of fire, this cannon tower attacks with strength of dragons.",,,,,,,,
114024,Towers,滚油塔,发射粘稠机油的防御塔，可以减少敌人行进的速度。,Oiler,"The Oiler equipped with oil cauldrons, shoots out viscous oil onto enemies slowing them down.",,,,,,,,
12101,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12102,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12103,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12104,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12105,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12119,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12120,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12121,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12122,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12123,Soldiers,援兵,自愿参加王国守卫战的士兵。,Reinforcements,Volunteers from the Kingdom's militia.,,,,,,,,
12124,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12125,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12126,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12127,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12128,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12129,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12130,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12131,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12132,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12133,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12134,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12135,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12136,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12137,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12138,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12139,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12140,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12141,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12142,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12143,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12144,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12145,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
12146,Soldiers,援兵,接受过强健体魄训练的民兵，可以承受更多的伤害。,Reinforcements,"After a little training and improved armor, these militia men can take heavier hits.",,,,,,,,
