士兵Id,中文名称,类型,资源ID,名字ID,搜索范围,武器,基础攻击,最大攻击,生命血量,攻击范围,攻击类型,溅射范围,物理防御,魔法防御,攻击CD时间,移动速度,复活时间,技能配置,模型大小,是否可召唤
12177,皇家卫士,1,12104,12174,,,103 ,154 ,1950,0,1,,10,0,1000,70,,154083,1,0
12178,皇家卫士,1,12104,12174,,,112 ,168 ,2000,0,1,,10,0,1000,70,,154083,1,0
12179,皇家卫士,1,12104,12174,,,122 ,182 ,2050,0,1,,10,0,1000,70,,154083,1,0
12180,皇家卫士,1,12104,12174,,,131 ,196 ,2100,0,1,,10,0,1000,70,,154083,1,0
12181,皇家卫士,1,12104,12174,,,140 ,210 ,2150,0,1,,10,0,1000,70,,154083,1,0
12182,皇家卫士,1,12104,12174,,,150 ,224 ,2200,0,1,,10,0,1000,70,,154083,1,0
12183,皇家卫士,1,12104,12174,,,159 ,239 ,2250,0,1,,10,0,1000,70,,154083,1,0
12184,皇家卫士,1,12104,12174,,,168 ,253 ,2300,0,1,,10,0,1000,70,,154083,1,0
12185,皇家卫士,1,12104,12174,,,178 ,267 ,2350,0,1,,10,0,1000,70,,154083,1,0
12186,皇家卫士,1,12104,12174,,,187 ,281 ,2400,0,1,,10,0,1000,70,,154083,1,0
12187,皇家卫士,1,12104,12174,,,197 ,295 ,2450,0,1,,10,0,1000,70,,154083,1,0
12188,皇家卫士,1,12104,12174,,,206 ,309 ,2500,0,1,,10,0,1000,70,,154083,1,0
12189,皇家卫士,1,12104,12174,,,215 ,323 ,2550,0,1,,10,0,1000,70,,154083,1,0
12190,皇家卫士,1,12104,12174,,,225 ,337 ,2600,0,1,,10,0,1000,70,,154083,1,0
12191,皇家卫士,1,12104,12174,,,234 ,351 ,2650,0,1,,10,0,1000,70,,154083,1,0
12192,皇家卫士,1,12104,12174,,,243 ,365 ,2700,0,1,,10,0,1000,70,,154083,1,0
12193,皇家卫士,1,12104,12174,,,253 ,379 ,2750,0,1,,10,0,1000,70,,154083,1,0
12194,皇家卫士,1,12104,12174,,,262 ,393 ,2800,0,1,,10,0,1000,70,,154083,1,0
12195,皇家卫士,1,12104,12174,,,272 ,407 ,2850,0,1,,10,0,1000,70,,154083,1,0
12196,皇家卫士,1,12104,12174,,,281 ,421 ,2900,0,1,,10,0,1000,70,,154083,1,0
12197,皇家卫士,1,12104,12174,,,290 ,435 ,2950,0,1,,10,0,1000,70,,154083,1,0
12198,皇家卫士,1,12104,12174,,,300 ,449 ,3000,0,1,,10,0,1000,70,,154083,1,0
12199,皇家卫士,1,12104,12174,,,309 ,464 ,3050,0,1,,10,0,1000,70,,154083,1,0
12200,皇家卫士,1,12104,12174,,,318 ,478 ,3100,0,1,,10,0,1000,70,,154083,1,0
12201,皇家卫士,1,12104,12174,,,328 ,492 ,3150,0,1,,10,0,1000,70,,154083,1,0
12202,皇家卫士,1,12104,12174,,,337 ,506 ,3200,0,1,,10,0,1000,70,,154083,1,0
12203,皇家卫士,1,12104,12174,,,347 ,520 ,3250,0,1,,10,0,1000,70,,154083,1,0
12204,皇家卫士,1,12104,12174,,,356 ,534 ,3300,0,1,,10,0,1000,70,,154083,1,0
12205,皇家卫士,1,12104,12174,,,365 ,548 ,3350,0,1,,10,0,1000,70,,154083,1,0
12206,皇家卫士,1,12104,12174,,,375 ,562 ,3400,0,1,,10,0,1000,70,,154083,1,0
12207,皇家卫士,1,12104,12174,,,384 ,576 ,3450,0,1,,10,0,1000,70,,154083,1,0
12208,皇家卫士,1,12104,12174,,,393 ,590 ,3500,0,1,,10,0,1000,70,,154083,1,0
12209,皇家卫士,1,12104,12174,,,403 ,604 ,3550,0,1,,10,0,1000,70,,154083,1,0
12210,皇家卫士,1,12104,12174,,,412 ,618 ,3600,0,1,,10,0,1000,70,,154083,1,0
12211,皇家卫士,1,12104,12174,,,422 ,632 ,3650,0,1,,10,0,1000,70,,154083,1,0
12212,皇家卫士,1,12104,12174,,,431 ,646 ,3700,0,1,,10,0,1000,70,,154083,1,0
12213,皇家卫士,1,12104,12174,,,440 ,660 ,3750,0,1,,10,0,1000,70,,154083,1,0
12214,皇家卫士,1,12104,12174,,,450 ,674 ,3800,0,1,,10,0,1000,70,,154083,1,0
12215,皇家卫士,1,12104,12174,,,459 ,689 ,3850,0,1,,10,0,1000,70,,154083,1,0
12216,皇家卫士,1,12104,12174,,,468 ,703 ,3900,0,1,,10,0,1000,70,,154083,1,0
12217,皇家卫士,1,12104,12174,,,478 ,717 ,3950,0,1,,10,0,1000,70,,154083,1,0
12218,皇家卫士,1,12104,12174,,,487 ,731 ,4000,0,1,,10,0,1000,70,,154083,1,0
12219,皇家卫士,1,12104,12174,,,497 ,745 ,4050,0,1,,10,0,1000,70,,154083,1,0
12220,皇家卫士,1,12104,12174,,,506 ,759 ,4100,0,1,,10,0,1000,70,,154083,1,0
12221,皇家卫士,1,12104,12174,,,515 ,773 ,4150,0,1,,10,0,1000,70,,154083,1,0
12222,皇家卫士,1,12104,12174,,,525 ,787 ,4200,0,1,,10,0,1000,70,,154083,1,0
12223,皇家卫士,1,12104,12174,,,534 ,801 ,4250,0,1,,10,0,1000,70,,154083,1,0
12224,皇家卫士,1,12104,12174,,,543 ,815 ,4300,0,1,,10,0,1000,70,,154083,1,0
12225,皇家卫士,1,12104,12174,,,553 ,829 ,4350,0,1,,10,0,1000,70,,154083,1,0
12226,皇家卫士,1,12104,12174,,,562 ,843 ,4400,0,1,,10,0,1000,70,,154083,1,0
12227,皇家卫士,1,12104,12174,,,572 ,857 ,4450,0,1,,10,0,1000,70,,154083,1,0
12228,皇家卫士,1,12104,12174,,,581 ,871 ,4500,0,1,,10,0,1000,70,,154083,1,0
12229,皇家卫士,1,12104,12174,,,590 ,885 ,4550,0,1,,10,0,1000,70,,154083,1,0
12230,皇家卫士,1,12104,12174,,,600 ,899 ,4600,0,1,,10,0,1000,70,,154083,1,0
12231,皇家卫士,1,12104,12174,,,609 ,914 ,4650,0,1,,10,0,1000,70,,154083,1,0
12232,皇家卫士,1,12104,12174,,,618 ,928 ,4700,0,1,,10,0,1000,70,,154083,1,0
12233,皇家卫士,1,12104,12174,,,628 ,942 ,4750,0,1,,10,0,1000,70,,154083,1,0
12234,神兵,1,12106,12234,,20004,113 ,263 ,2700,130,1,,10,0,1000,70,,154083,1,0
12235,神兵,1,12106,12234,,20004,126 ,294 ,2760,130,1,,10,0,1000,70,,154083,1,0
12236,神兵,1,12106,12234,,20004,140 ,327 ,2820,130,1,,10,0,1000,70,,154083,1,0
12237,神兵,1,12106,12234,,20004,154 ,360 ,2880,130,1,,10,0,1000,70,,154083,1,0
12238,神兵,1,12106,12234,,20004,168 ,392 ,2940,130,1,,10,0,1000,70,,154083,1,0
12239,神兵,1,12106,12234,,20004,182 ,425 ,3000,130,1,,10,0,1000,70,,154083,1,0
12240,神兵,1,12106,12234,,20004,196 ,458 ,3060,130,1,,10,0,1000,70,,154083,1,0
12241,神兵,1,12106,12234,,20004,210 ,491 ,3120,130,1,,10,0,1000,70,,154083,1,0
12242,神兵,1,12106,12234,,20004,224 ,524 ,3180,130,1,,10,0,1000,70,,154083,1,0
12243,神兵,1,12106,12234,,20004,239 ,557 ,3240,130,1,,10,0,1000,70,,154083,1,0
12244,神兵,1,12106,12234,,20004,253 ,589 ,3300,130,1,,10,0,1000,70,,154083,1,0
12245,神兵,1,12106,12234,,20004,267 ,622 ,3360,130,1,,10,0,1000,70,,154083,1,0
12246,神兵,1,12106,12234,,20004,281 ,655 ,3420,130,1,,10,0,1000,70,,154083,1,0
12247,神兵,1,12106,12234,,20004,295 ,688 ,3480,130,1,,10,0,1000,70,,154083,1,0
12248,神兵,1,12106,12234,,20004,309 ,721 ,3540,130,1,,10,0,1000,70,,154083,1,0
12249,神兵,1,12106,12234,,20004,323 ,753 ,3600,130,1,,10,0,1000,70,,154083,1,0
12250,神兵,1,12106,12234,,20004,337 ,786 ,3660,130,1,,10,0,1000,70,,154083,1,0
12251,神兵,1,12106,12234,,20004,351 ,819 ,3720,130,1,,10,0,1000,70,,154083,1,0
12252,神兵,1,12106,12234,,20004,365 ,852 ,3780,130,1,,10,0,1000,70,,154083,1,0
12253,神兵,1,12106,12234,,20004,379 ,885 ,3840,130,1,,10,0,1000,70,,154083,1,0
12254,神兵,1,12106,12234,,20004,393 ,917 ,3900,130,1,,10,0,1000,70,,154083,1,0
12255,神兵,1,12106,12234,,20004,407 ,950 ,3960,130,1,,10,0,1000,70,,154083,1,0
12256,神兵,1,12106,12234,,20004,421 ,983 ,4020,130,1,,10,0,1000,70,,154083,1,0
12257,神兵,1,12106,12234,,20004,435 ,1016 ,4080,130,1,,10,0,1000,70,,154083,1,0
12258,神兵,1,12106,12234,,20004,449 ,1049 ,4140,130,1,,10,0,1000,70,,154083,1,0
12259,神兵,1,12106,12234,,20004,464 ,1082 ,4200,130,1,,10,0,1000,70,,154083,1,0
12260,神兵,1,12106,12234,,20004,478 ,1114 ,4260,130,1,,10,0,1000,70,,154083,1,0
12261,神兵,1,12106,12234,,20004,492 ,1147 ,4320,130,1,,10,0,1000,70,,154083,1,0
12262,神兵,1,12106,12234,,20004,506 ,1180 ,4380,130,1,,10,0,1000,70,,154083,1,0
12263,神兵,1,12106,12234,,20004,520 ,1213 ,4440,130,1,,10,0,1000,70,,154083,1,0
12264,神兵,1,12106,12234,,20004,534 ,1246 ,4500,130,1,,10,0,1000,70,,154083,1,0
12265,神兵,1,12106,12234,,20004,548 ,1278 ,4560,130,1,,10,0,1000,70,,154083,1,0
12266,神兵,1,12106,12234,,20004,562 ,1311 ,4620,130,1,,10,0,1000,70,,154083,1,0
12267,神兵,1,12106,12234,,20004,576 ,1344 ,4680,130,1,,10,0,1000,70,,154083,1,0
12268,神兵,1,12106,12234,,20004,590 ,1377 ,4740,130,1,,10,0,1000,70,,154083,1,0
12269,神兵,1,12106,12234,,20004,604 ,1410 ,4800,130,1,,10,0,1000,70,,154083,1,0
12270,神兵,1,12106,12234,,20004,618 ,1442 ,4860,130,1,,10,0,1000,70,,154083,1,0
12271,神兵,1,12106,12234,,20004,632 ,1475 ,4920,130,1,,10,0,1000,70,,154083,1,0
12272,神兵,1,12106,12234,,20004,646 ,1508 ,4980,130,1,,10,0,1000,70,,154083,1,0
12273,神兵,1,12106,12234,,20004,660 ,1541 ,5040,130,1,,10,0,1000,70,,154083,1,0
12274,神兵,1,12106,12234,,20004,674 ,1574 ,5100,130,1,,10,0,1000,70,,154083,1,0
12275,神兵,1,12106,12234,,20004,689 ,1607 ,5160,130,1,,10,0,1000,70,,154083,1,0
12276,神兵,1,12106,12234,,20004,703 ,1639 ,5220,130,1,,10,0,1000,70,,154083,1,0
12277,神兵,1,12106,12234,,20004,717 ,1672 ,5280,130,1,,10,0,1000,70,,154083,1,0
12278,神兵,1,12106,12234,,20004,731 ,1705 ,5340,130,1,,10,0,1000,70,,154083,1,0
12279,神兵,1,12106,12234,,20004,745 ,1738 ,5400,130,1,,10,0,1000,70,,154083,1,0
12280,神兵,1,12106,12234,,20004,759 ,1771 ,5460,130,1,,10,0,1000,70,,154083,1,0
12281,神兵,1,12106,12234,,20004,773 ,1803 ,5520,130,1,,10,0,1000,70,,154083,1,0
12282,神兵,1,12106,12234,,20004,787 ,1836 ,5580,130,1,,10,0,1000,70,,154083,1,0
12283,神兵,1,12106,12234,,20004,801 ,1869 ,5640,130,1,,10,0,1000,70,,154083,1,0
12284,神兵,1,12106,12234,,20004,815 ,1902 ,5700,130,1,,10,0,1000,70,,154083,1,0
12285,神兵,1,12106,12234,,20004,829 ,1935 ,5760,130,1,,10,0,1000,70,,154083,1,0
12286,神兵,1,12106,12234,,20004,843 ,1967 ,5820,130,1,,10,0,1000,70,,154083,1,0
12287,神兵,1,12106,12234,,20004,857 ,2000 ,5880,130,1,,10,0,1000,70,,154083,1,0
12288,神兵,1,12106,12234,,20004,871 ,2033 ,5940,130,1,,10,0,1000,70,,154083,1,0
12289,神兵,1,12106,12234,,20004,885 ,2066 ,6000,130,1,,10,0,1000,70,,154083,1,0
12290,神兵,1,12106,12234,,20004,899 ,2099 ,6060,130,1,,10,0,1000,70,,154083,1,0
12291,神兵,1,12106,12234,,20004,914 ,2132 ,6120,130,1,,10,0,1000,70,,154083,1,0
12292,神兵,1,12106,12234,,20004,928 ,2164 ,6180,130,1,,10,0,1000,70,,154083,1,0
12293,神兵,1,12106,12234,,20004,942 ,2197 ,6240,130,1,,10,0,1000,70,,154083,1,0
12106,猎龙人,1,12106,,,20004,1500,2500,8300,130,1,,0,0,1000,70,,154083,1,0
12107,机械守卫,1,12107,,,,700,1000,16000,0,1,,0,0,1000,30,,154083,1,0
12108,冰元素,1,12108,,,20047,1300,2000,2700,130,2,,0,0,1200,25,10000,154083,2,1
12294,冰元素,1,12108,,,20047,1500,2300,3000,130,2,,0,0,1200,25,10000,154083,2,1
12295,冰元素,1,12108,,,20047,1700,2000,3300,130,2,,0,0,1200,25,10000,154083,2,1
12109,碎冰元素,1,12109,,,20047,700,1000,2700,0,1,,0,0,1000,30,,154083,1,1
12110,土元素,1,12110,,,,1000,1500,3300,0,1,,0,0,1200,25,10000,154083,2,1
12296,土元素,1,12110,,,,1200,1800,4000,0,1,,0,0,1200,25,10000,154083,2,1
12297,土元素,1,12110,,,,1300,2100,4600,0,1,,0,0,1200,25,10000,154083,2,1
12111,树人援兵,1,12111,,,,800,1200,4000,0,1,,0,0,1500,25,,154083,1,0
12112,新兵,1,12112,,,,50,100,1350,0,1,,0,0,1000,70,10000,154083,1,0
12113,步兵,1,12113,,,,100,150,2650,0,1,,10,0,1000,70,10000,154083,1,0
12114,精锐步兵,1,12114,,,,150,350,4000,0,1,,10,0,1000,70,10000,154083,1,0
12115,骑士,1,12115,,,,350,550,5350,0,1,,40,0,1000,60,13000,"152032,152033:152033:100,1520321,1520331:152033:100,1520322,1520332:152033:100,154083",1,0
12116,角斗士,1,12116,,,20002,450,680,8000,0,1,,0,0,1000,70,13000,"152034,152035:152035:90,1520341,1520351:152035:90,1520342,1520352:152035:90,154083",1,0
12117,牧师,1,12117,,,20001,330,500,6700,130,2,,0,0,1500,40,13000,"152036:1:80,152037:1:70,1520361:1:80,1520371:1:70,1520362:1:80,1520372:1:70,154083",1,0
12118,巨熊之灵,1,12118,,200,,400,600,2000,0,1,,0,0,1500,60,13000,"154082,154083",1,1
